,partial_model,full_model,sample_size,batch_size,seed
71,0.01159735123316447,0.019043155511220298,512,256,1
72,0.011558250586191813,0.0189737598101298,512,256,2
73,0.011455972989400228,0.019174075126647948,512,256,3
74,0.011658350626627604,0.019378300507863364,512,256,4
75,0.011687072118123372,0.01910740931828817,512,256,5
76,0.011596179008483887,0.019015880425771077,512,256,6
77,0.01176016330718994,0.01909564733505249,512,256,7
78,0.01157524585723877,0.01916375954945882,512,256,8
79,0.011578059196472168,0.019231136639912924,512,256,9
80,0.08748488823572795,0.16211239099502564,1024,32,0
81,0.08762209018071493,0.16251848538716634,1024,32,1
82,0.08722674449284872,0.16246632734934488,1024,32,2
83,0.08741634686787923,0.16259673833847046,1024,32,3
84,0.08782299757003784,0.16228070656458538,1024,32,4
85,0.08756829500198364,0.16203193267186483,1024,32,5
86,0.08820340633392335,0.1623341917991638,1024,32,6
87,0.08758934338887532,0.162394650777181,1024,32,7
88,0.0876350998878479,0.16269310315450033,1024,32,8
89,0.08773284753163656,0.1626382827758789,1024,32,9
90,0.047942936420440674,0.08645604848861695,1024,64,0
91,0.04798545042673747,0.08688580989837646,1024,64,1
92,0.04798911809921265,0.08621200323104858,1024,64,2
93,0.04814578692118327,0.0861715277036031,1024,64,3
94,0.04800077279408773,0.08616665204366049,1024,64,4
95,0.047887670993804934,0.08651668230692545,1024,64,5
96,0.047996032238006595,0.086395001411438,1024,64,6
97,0.047855710983276366,0.08642597198486328,1024,64,7
98,0.04796474774678548,0.08636211554209391,1024,64,8
99,0.047864643732706706,0.08636919657389323,1024,64,9
100,0.030865963300069174,0.0541196862856547,1024,128,0
101,0.030692791938781737,0.05398250818252563,1024,128,1
102,0.031210474173227944,0.05393136342366536,1024,128,2
103,0.03094766934712728,0.05414522886276245,1024,128,3
104,0.030966349442799888,0.05417975982030233,1024,128,4
105,0.030534895261128743,0.053808907667795815,1024,128,5
106,0.031033674875895183,0.0544167955716451,1024,128,6
107,0.031007830301920572,0.054244677225748696,1024,128,7
108,0.030928413073221844,0.05403316020965576,1024,128,8
109,0.031007023652394612,0.05387644767761231,1024,128,9
110,0.02143620252609253,0.03553348779678345,1024,256,0
111,0.02149049441019694,0.035600439707438154,1024,256,1
112,0.02187805970509847,0.034896481037139895,1024,256,2
113,0.02166192134221395,0.03595369656880697,1024,256,3
114,0.02165722449620565,0.03556819756825765,1024,256,4
115,0.021642665068308514,0.03499173720677694,1024,256,5
116,0.02146799166997274,0.034746301174163816,1024,256,6
117,0.021782310803731282,0.035024253527323405,1024,256,7
118,0.02166668176651001,0.0349533478418986,1024,256,8
119,0.021735123793284097,0.035482295354207355,1024,256,9
120,0.3433827559153239,0.6350528597831726,4096,32,0
121,0.34307858943939207,0.6369620045026143,4096,32,1
122,0.34340357780456543,0.6391266703605651,4096,32,2
123,0.3424563328425089,0.6388388911883036,4096,32,3
124,0.3434800545374552,0.6406304081281026,4096,32,4
125,0.34413190682729083,0.6423204064369201,4096,32,5
126,0.3433127442995707,0.6393108606338501,4096,32,6
127,0.34414036671320597,0.6393657048543294,4096,32,7
128,0.34269920190175374,0.6386293888092041,4096,32,8
129,0.3443575541178385,0.6388421098391215,4096,32,9
130,0.18607134024302166,0.3359904726346334,4096,64,0
131,0.18606394131978352,0.3361143271128337,4096,64,1
132,0.18577121098836263,0.33571567535400393,4096,64,2
133,0.18557825088500976,0.3362984259923299,4096,64,3
134,0.18564246892929076,0.33609331051508584,4096,64,4
135,0.18612226247787475,0.33683591286341347,4096,64,5
136,0.18635141849517822,0.33433491786321007,4096,64,6
137,0.18611196279525757,0.3360421617825826,4096,64,7
138,0.1860731601715088,0.3355746308962504,4096,64,8
139,0.18584332863489786,0.33522979815800985,4096,64,9
140,0.1151678721110026,0.2015215516090393,4096,128,0
141,0.1177022933959961,0.20203991333643595,4096,128,1
142,0.11521223386128744,0.20001009305318196,4096,128,2
143,0.11813013950983683,0.19806633790334066,4096,128,3
144,0.11705199082692465,0.2013708750406901,4096,128,4
145,0.11741402149200439,0.2008982539176941,4096,128,5
146,0.11628107229868571,0.19858350356419882,4096,128,6
147,0.11593363682428996,0.19820693333943684,4096,128,7
148,0.11720033884048461,0.2004934787750244,4096,128,8
149,0.11702996492385864,0.20037720998128256,4096,128,9
150,0.07575135628382365,0.12270938555399577,4096,256,0
151,0.0775715708732605,0.12354312340418498,4096,256,1
152,0.07756935358047486,0.1245718240737915,4096,256,2
153,0.07684622605641683,0.1242903709411621,4096,256,3
154,0.0775275190671285,0.12346548636754354,4096,256,4
155,0.075872802734375,0.1232512394587199,4096,256,5
156,0.07791591882705688,0.12414526144663493,4096,256,6
157,0.07839986880620321,0.12422092755635579,4096,256,7
158,0.07693794171015421,0.12292822202046712,4096,256,8
159,0.07789368629455566,0.12424507141113281,4096,256,9
160,0.6852824131647746,1.2649210294087727,8192,32,0
161,0.6834152221679688,1.2697655479113261,8192,32,1
162,0.6854307333628337,1.2698698123296102,8192,32,2
163,0.6852318644523621,1.2711188673973084,8192,32,3
164,0.684403665860494,1.2760903278986613,8192,32,4
165,0.6844270944595336,1.2679437319437663,8192,32,5
166,0.6846574068069458,1.2711339116096496,8192,32,6
167,0.6843936284383138,1.2665923198064168,8192,32,7
168,0.685914671421051,1.2632609724998474,8192,32,8
169,0.6866845806439718,1.2723137378692626,8192,32,9
170,0.37066399256388344,0.66940309604009,8192,64,0
171,0.3692612449328105,0.6653218269348145,8192,64,1
172,0.36935838460922243,0.6685188412666321,8192,64,2
173,0.3681543032328288,0.6659386316935222,8192,64,3
174,0.3694159785906474,0.6659015456835429,8192,64,4
175,0.37044775088628135,0.6654290000597636,8192,64,5
176,0.3689279079437256,0.665158724784851,8192,64,6
177,0.36927388509114584,0.665389891465505,8192,64,7
178,0.36833916505177816,0.6655773321787516,8192,64,8
179,0.3689884662628174,0.6649460991223654,8192,64,9
180,0.2304388165473938,0.3939298947652181,8192,128,0
181,0.23209556738535564,0.4023448387781779,8192,128,1
182,0.23408561547597248,0.39767976601918537,8192,128,2
183,0.23667934735616047,0.39313311179478966,8192,128,3
184,0.22963088750839233,0.4009410262107849,8192,128,4
185,0.23093839486440024,0.3946303129196167,8192,128,5
186,0.23462162415186563,0.39676017363866173,8192,128,6
187,0.2345953941345215,0.4016241629918416,8192,128,7
188,0.23645467360814412,0.40164523124694823,8192,128,8
189,0.23149052460988362,0.3993354201316833,8192,128,9
190,0.1586458444595337,0.24813165267308554,8192,256,0
191,0.15917840401331584,0.24619689385096233,8192,256,1
192,0.15626244147618612,0.24858700434366862,8192,256,2
193,0.15666484038035075,0.24661180178324382,8192,256,3
194,0.15643874804178873,0.24446158011754354,8192,256,4
195,0.15581664244333904,0.2465397000312805,8192,256,5
196,0.15793234904607137,0.24606125752131144,8192,256,6
197,0.1595359166463216,0.2488339900970459,8192,256,7
198,0.15923531452814738,0.24895260334014893,8192,256,8
199,0.15441043376922609,0.24732330242792766,8192,256,9
200,1.377337642510732,2.537543265024821,16384,32,0
201,1.3724751234054566,2.534242069721222,16384,32,1
202,1.3744016408920288,2.5479766368865966,16384,32,2
203,1.3746951977411905,2.551765278975169,16384,32,3
204,1.368342157204946,2.5518012642860413,16384,32,4
205,1.371418873469035,2.5419827461242677,16384,32,5
206,1.3666760206222535,2.5484252254168194,16384,32,6
207,1.3738337874412536,2.5380805214246114,16384,32,7
208,1.3707575678825379,2.542542541027069,16384,32,8
209,1.3739778359731039,2.5434839606285093,16384,32,9
210,0.7421090245246887,1.3332382917404175,16384,64,0
211,0.7414688388506572,1.335732607046763,16384,64,1
212,0.7414574265480042,1.3339125315348308,16384,64,2
213,0.7408931612968445,1.3314505457878112,16384,64,3
214,0.7409411986668905,1.3362191557884215,16384,64,4
215,0.7430800000826517,1.333998433748881,16384,64,5
216,0.7418273687362671,1.3325942277908325,16384,64,6
217,0.7415323972702026,1.3343106269836427,16384,64,7
218,0.7416973114013672,1.3348629156748453,16384,64,8
219,0.7431449850400289,1.3364660104115804,16384,64,9
220,0.4690274715423584,0.7905719717343648,16384,128,0
221,0.4723156730333964,0.803806459903717,16384,128,1
222,0.46651513973871866,0.7917466123898824,16384,128,2
223,0.4687633991241455,0.7994720220565796,16384,128,3
224,0.47456227938334145,0.7945896585782369,16384,128,4
225,0.4713932196299235,0.7978347420692444,16384,128,5
226,0.4678264300028483,0.791060229142507,16384,128,6
227,0.47205313444137575,0.8010420600573221,16384,128,7
228,0.4712633172671,0.7957209944725037,16384,128,8
229,0.4681776444117228,0.7996034264564514,16384,128,9
230,0.3231137752532959,0.5027131040891012,16384,256,0
231,0.3202802817026774,0.49922171036402385,16384,256,1
232,0.3194343368212382,0.5000135580698649,16384,256,2
233,0.3205614447593689,0.4997247060139974,16384,256,3
234,0.3201998233795166,0.504038139184316,16384,256,4
235,0.32227249145507814,0.5055754542350769,16384,256,5
236,0.32164705991744996,0.5032498518625895,16384,256,6
237,0.31768980820973713,0.5015374978383382,16384,256,7
238,0.3213201324144999,0.5013371467590332,16384,256,8
239,0.31827324628829956,0.5038702964782715,16384,256,9
240,2.750983556111654,5.103030276298523,32768,32,0
241,2.7499329805374146,5.091017917792002,32768,32,1
242,2.7473973631858826,5.096418539683024,32768,32,2
243,2.742624068260193,5.085424995422363,32768,32,3
244,2.756599422295888,5.095571088790893,32768,32,4
245,2.751903247833252,5.106461441516876,32768,32,5
246,2.7490314761797587,5.1116894642512,32768,32,6
247,2.746413751443227,5.109099964300792,32768,32,7
248,2.749633570512136,5.10570494333903,32768,32,8
249,2.7523966789245606,5.102269355456034,32768,32,9
250,1.4937430262565612,2.6689986189206443,32768,64,0
251,1.495229927698771,2.6674541155497233,32768,64,1
252,1.4923332691192628,2.6714904149373373,32768,64,2
253,1.493349838256836,2.676710307598114,32768,64,3
254,1.4988816102345786,2.6811607003211977,32768,64,4
255,1.4893420735994976,2.6803277214368184,32768,64,5
256,1.4943540334701537,2.6783385435740152,32768,64,6
257,1.4924444635709126,2.6774965047836305,32768,64,7
258,1.4968629082043965,2.6784708738327025,32768,64,8
259,1.4913559794425963,2.66920725107193,32768,64,9
260,0.9456779718399048,1.5816988706588746,32768,128,0
261,0.9389784336090088,1.5861451228459675,32768,128,1
262,0.9428238352139791,1.5913496454556784,32768,128,2
263,0.9420137047767639,1.5972423235575357,32768,128,3
264,0.9442544897397359,1.604752524693807,32768,128,4
265,0.9481273770332337,1.5897536913553874,32768,128,5
266,0.9492159525553385,1.6044084310531617,32768,128,6
267,0.9426430861155192,1.594696867465973,32768,128,7
268,0.9348801215489705,1.5920149246851603,32768,128,8
269,0.9461191654205322,1.606870420773824,32768,128,9
270,0.6572209239006043,1.0074456373850504,32768,256,0
271,0.6562051097551982,1.0091163078943888,32768,256,1
272,0.6552823901176452,0.9946583151817322,32768,256,2
273,0.6534731984138489,0.9966987530390422,32768,256,3
274,0.6467117746671041,0.9863720814387004,32768,256,4
275,0.6559317588806153,1.001924987634023,32768,256,5
276,0.6562763889630635,1.0037556926409403,32768,256,6
277,0.6544943849245707,0.9991529146830241,32768,256,7
278,0.6513166864713033,0.9995572725931804,32768,256,8
279,0.6492807388305664,1.0061644872029623,32768,256,9
