,   1   6   4  12   5   5   3   4   1  67   3   2   1   2   1   0   0   1   0   0   1   0   0   1   1 
143,   4  21   4  23   1   2   2   4   2  23   3   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
144,   2  48   1  36   2   4   3   2   3  30   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
145,   1   6   4   9   1   5   2   4   4  39   3   2   1   2   1   1   0   1   0   0   1   0   0   1   1 
146,   4  12   4   7   2   4   2   3   3  51   3   2   1   2   1   1   0   1   0   0   1   0   0   1   1 
147,   1  36   4  54   1   3   3   2   2  28   3   2   1   1   1   0   0   0   0   0   1   0   0   1   1 
148,   4  18   4  16   4   5   3   4   3  46   3   2   1   1   1   0   0   1   0   0   1   0   0   1   1 
149,   4   6   2  13   2   5   3   4   4  42   1   1   2   2   1   0   0   1   0   0   0   0   0   1   1 
150,   4  10   2  19   1   3   3   4   2  38   3   1   1   2   2   0   0   1   0   0   1   0   0   1   1 
151,   3  36   2  58   1   3   3   1   3  24   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
152,   2  24   4  78   4   5   2   4   4  29   3   1   1   1   1   0   1   1   0   1   0   0   0   1   1 
153,   2  24   3  70   2   4   3   4   3  36   3   1   1   2   1   0   0   1   0   1   0   0   0   0   1 
154,   1  12   2  13   1   3   2   4   3  20   3   1   1   1   1   0   0   1   0   1   0   0   0   1   2 
155,   1   9   4  13   2   5   3   4   1  48   3   2   2   1   2   0   0   0   0   0   1   0   0   1   1 
156,   1  12   1   3   1   5   4   1   3  45   1   1   1   1   1   0   0   1   0   0   1   0   1   0   1 
157,   2  24   2  35   2   4   3   3   3  38   1   2   1   2   1   1   0   1   0   0   1   0   0   1   1 
158,   4   6   4  19   5   3   3   2   1  34   3   2   2   1   1   0   0   1   0   0   1   0   1   0   1 
159,   4  24   4  29   2   5   3   4   1  36   3   1   2   2   1   0   0   1   0   0   1   0   0   1   1 
160,   4  18   4  11   1   2   2   1   2  30   3   2   1   1   1   1   0   1   0   0   1   0   0   1   1 
161,   4  15   2  13   3   4   3   3   2  36   3   2   1   2   1   0   0   1   0   0   1   0   0   1   1 
162,   2  10   2  73   1   1   3   4   4  70   1   1   1   2   1   1   0   1   0   0   0   0   0   0   1 
163,   4  36   2   9   3   5   3   4   2  36   3   1   1   1   1   1   0   1   0   0   1   0   0   1   1 
164,   4   6   2  30   3   3   3   2   3  32   3   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
165,   1  18   2  11   1   1   2   2   3  33   3   1   1   1   1   0   0   1   0   0   1   0   0   1   2 
166,   2  11   2  16   4   2   2   1   1  20   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
167,   4  24   2  40   1   4   2   4   2  25   3   1   1   2   1   0   0   1   0   1   0   0   0   1   1 
168,   2  24   4  19   1   5   1   4   1  31   3   2   1   2   1   0   0   1   0   0   1   0   0   1   2 
169,   1  15   0  10   1   5   3   3   3  33   3   2   2   1   1   1   0   1   0   1   0   0   0   1   2 
170,   4  12   2   8   1   3   2   1   1  26   3   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
171,   2  24   3  21   1   1   2   2   2  34   3   1   1   2   1   0   0   1   0   0   1   0   0   0   2 
172,   2   8   2  14   1   3   3   2   1  33   3   1   1   1   2   0   0   0   0   0   1   0   0   1   1 
173,   1  21   3  34   1   2   3   1   2  26   3   2   1   1   1   0   0   1   0   0   1   0   0   1   2 
174,   4  30   1  75   5   1   2   1   1  53   1   1   1   2   1   0   1   1   0   0   1   0   0   0   2 
175,   1  12   2  26   1   3   1   1   3  42   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
176,   1   6   4   3   3   5   3   4   3  52   3   2   1   1   1   0   0   1   0   0   1   0   0   1   1 
177,   4  12   2  20   1   4   3   2   3  31   3   2   2   2   1   0   0   1   0   1   0   0   0   0   1 
178,   1  21   4   6   1   5   3   4   1  65   3   2   1   1   1   1   0   1   0   0   1   0   0   1   1 
179,   4  36   3  96   1   2   1   1   3  28   3   2   1   1   1   0   0   1   0   0   1   0   0   1   2 
180,   2  36   3  45   1   3   1   2   1  30   2   2   1   2   1   0   0   1   0   0   1   0   0   0   2 
181,   1  21   1  16   5   3   3   2   2  40   3   2   2   1   1   1   0   1   0   0   1   0   1   0   2 
182,   4  24   4  38   4   3   3   4   1  50   3   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
183,   2  18   4   9   1   5   3   4   3  36   1   1   2   2   1   1   0   1   0   0   1   0   0   1   2 
184,   4  15   4  14   1   3   3   2   2  31   3   2   1   1   1   0   0   1   0   0   1   0   0   1   1 
185,   2   9   1  51   1   5   2   4   4  74   1   1   2   2   1   0   1   1   0   0   0   0   0   0   2 
186,   2  16   4  12   1   1   3   3   3  68   3   3   1   2   1   1   0   1   0   0   0   1   0   0   1 
187,   1  12   2   7   2   4   4   1   2  20   3   1   1   1   1   0   0   1   0   0   1   0   0   1   2 
188,   2  18   0  32   1   3   2   4   3  33   1   2   1   2   1   0   0   1   0   0   1   0   0   1   1 
189,   4  24   2  46   4   3   3   3   2  54   3   3   1   2   1   0   0   1   0   0   1   0   0   0   2 
190,   2  48   0  38   2   4   3   4   4  34   3   1   2   1   1   0   0   1   0   0   0   0   1   0   2 
191,   2  27   2  39   1   3   3   2   3  36   3   1   2   2   1   0   0   1   0   0   1   0   0   1   2 
192,   4   6   2  21   1   4   4   2   1  29   3   1   1   1   1   0   0   1   0   1   0   0   0   1   1 
193,   2  45   2  30   2   3   3   4   2  21   3   1   1   1   1   0   0   0   0   1   0   0   0   1   2 
194,   2   9   4  15   1   5   2   3   3  34   3   2   1   2   1   0   0   1   0   0   1   0   0   0   2 
195,   4   6   4  14   1   3   2   1   3  28   3   2   1   2   1   0   0   1   0   0   1   0   0   1   1 
196,   2  12   2  10   2   2   2   4   3  27   1   4   1   1   1   0   0   1   0   1   0   0   0   1   2 
197,   2  24   2  28   5   5   3   4   4  36   1   1   1   2   1   0   1   1   0   0   0   0   0   1   1 
198,   2  18   3  43   1   5   1   3   4  40   3   1   1   2   1   0   0   1   0   0   1   0   0   0   2 
199,   4   9   4   9   3   5   3   2   3  52   3   2   1   2   1   0   0   1   0   0   1   0   0   1   1 
200,   1  12   2  12   1   3   4   3   1  27   3   1   1   1   1   1   0   1   0   0   1   0   1   0   1 
201,   4  27   3  51   1   4   3   4   3  26   3   2   1   1   1   0   0   1   0   0   1   0   0   1   1 
202,   1  12   2   9   1   4   4   4   2  21   3   1   1   1   1   0   0   1   0   1   0   0   0   1   2 
203,   4  12   4  15   1   5   3   1   1  38   3   2   2   1   1   1   0   1   0   0   1   0   1   0   1 
204,   1  30   4 106   1   5   3   4   4  38   3   3   2   2   1   0   1   1   0   0   0   0   0   0   1 
205,   4  12   4  19   1   5   3   4   1  43   3   3   1   2   1   0   0   1   0   0   1   0   0   1   1 
206,   2  12   4  14   1   4   3   3   2  26   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
207,   1  24   2  66   1   3   4   2   3  21   2   1   1   1   1   0   0   1   0   0   1   0   1   0   1 
208,   4  12   2  14   4   4   3   2   2  55   3   1   1   1   2   0   1   1   0   0   1   0   0   1   1 
209,   4   9   4  31   5   3   3   2   1  33   3   2   2   1   1   0   0   1   0   0   1   0   0   1   1 
210,   4  36   2  38   5   5   2   4   1  45   3   1   1   2   1   0   0   1   0   0   1   0   1   0   1 
211,   1  27   0  53   1   1   3   4   2  50   2   2   1   2   1   0   0   1   0   0   1   0   0   1   2 
212,   3  30   3  19   1   5   3   4   1  66   3   1   1   2   1   0   0   1   0   0   1   0   0   0   2 
213,   4  36   4  33   5   5   3   2   3  51   3   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
214,   2   6   4   9   5   4   2   3   2  39   3   2   1   1   1   0   0   1   0   0   1   0   1   0   1 
215,   1  18   0  31   1   4   3   1   2  31   1   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
216,   3  36   2  39   1   3   3   2   1  23   3   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
217,   1  24   2  30   1   3   1   2   1  24   3   1   1   1   1   0   0   1   0   1   0   0   1   0   1 
218,   4  10   2  14   1   3   2   4   3  64   3   1   1   2   1   1   0   1   0   0   1   0   0   1   1 
219,   2  12   2   6   1   2   4   1   1  26   1   1   1   1   1   0   0   0   0   0   1   0   1   0   1 
220,   1  12   2  12   5   3   2   4   2  23   1   1   1   2   1   0   0   1   0   1   0   0   0   1   1 
221,   4  12   2   7   1   3   3   2   1  30   1   2   1   1   1   0   0   1   0   0   1   0   0   1   1 
222,   4  24   3  30   5   3   3   4   1  32   3   2   2   2   1   0   0   1   0   0   1   0   0   1   1 
223,   4  15   2  47   1   3   3   2   3  30   3   1   1   2   1   0   1   1   0   0   1   0   0   1   1 
224,   4  36   0  26   1   3   3   2   3  27   3   2   1   1   1   0   0   1   0   0   1   0   0   1   1 
225,   2  48   2 110   4   4   3   2   4  27   1   2   1   2   1   0   0   0   1   0   1   0   0   1   2 
226,   1  12   2  79   1   5   3   4   4  53   3   1   1   2   1   0   0   1   0   0   0   0   0   0   2 
227,   4   9   2  15   1   4   3   2   3  22   3   1   1   1   1   0   0   1   0   0   1   0   0   1   2 
228,   1  24   2  31   1   2   3   1   4  22   1   1   1   1   1   0   0   1   0   0   0   0   0   1   1 
229,   3  36   2  42   1   3   3   2   3  26   3   1   1   1   1   0   0   1   0   0   1   0   0   1   2 
230,   4   9   2  25   3   5   3   4   4  51   3   1   1   1   1   1   0   1   0   0   0   0   1   0   1 
231,   4  12   2  21   2   4   3   1   4  35   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
232,   2  18   2   9   1   3   4   2   1  25   3   1   1   1   1   0   0   0   0   0   1   0   1   0   1 
233,   4   4   4  15   1   4   3   1   1  42   3   3   2   1   1   0   0   1   0   0   1   0   1   0   1 
234,   1  24   2  18   1   1   3   2   3  30   2   1   2   1   1   0   0   1   0   0   1   0   0   0   2 
235,   2   6   2 146   5   1   3   2   2  23   3   1   1   2   1   1   0   1   0   0   1   1   0   0   2 
236,   2  21   2  28   2   5   1   2   3  61   1   2   1   1   1   0   0   1   0   1   0   0   1   0   2 
237,   4  12   4  13   1   3   2   2   2  35   3   2   1   1   1   0   0   1   0   0   1   0   0   1   1 
238,   1  30   2  25   1   5   3   3   2  39   3   1   2   1   1   0   0   0   0   0   1   0   0   1   1 
239,   1  24   2   9   5   5   2   2   3  29   1   1   1   1   1   1   0   1   0   0   1   0   0   1   2 
240,   4   6   2  16   1   4   3   2   2  51   3   1   2   1   1   0   0   1   0   0   1   0   0   1   1 
241,   1  48   0  46   1   5   3   4   4  24   3   2   2   1   1   0   1   1   0   0   0   0   0   1   2 
242,   4  12   4  12   1   3   2   2   1  27   3   2   1   1   1   0   0   1   0   0   1   0   0   1   1 
243,   4  12   1  34   3   3   2   3   1  35   3   1   2   1   1   0   0   1   0   0   1   0   1   0   1 
244,   4  24   2  13   1   4   3   1   1  25   3   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
245,   4  12   4   7   1   5   3   4   1  52   3   3   1   1   1   0   0   1   0   0   1   0   0   1   1 
246,   4   6   0  12   2   3   3   1   4  35   1   1   1   1   2   1   0   1   0   1   0   0   0   1   1 
247,   3  24   2  19   1   3   3   2   1  26   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
248,   4  18   2   4   1   1   2   4   1  22   3   1   1   1   1   0   0   0   1   1   0   0   0   1   2 
249,   1   6   4   7   4   4   2   4   1  39   3   2   1   2   1   1   0   1   0   0   1   0   1   0   1 
250,   3  12   2  23   1   3   2   2   3  46   3   1   1   1   1   0   0   1   0   0   1   0   1   0   1 
251,   2  30   2  22   1   3   2   2   4  24   1   1   1   1   1   1   0   0   0   0   1   0   0   1   2 
252,   4  24   3  42   2   3   3   3   2  35   3   2   1   1   1   0   0   1   0   0   1   0   0   1   1 
253,   2   9   2  20   5   4   3   1   3  24   3   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
254,   2  60   3  74   5   3   3   1   1  27   3   1   1   1   1   0   0   1   0   0   1   0   1   0   1 
255,   4  24   4  27   1   3   3   2   1  35   3   2   1   1   1   0   0   1   0   0   1   0   1   0   1 
256,   1  12   1  21   1   3   1   1   4  29   3   1   1   1   1   0   0   1   0   0   0   0   0   1   2 
